objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
fgcu_bhs_0063,fgcu_bhs_0063.jpg,,Miss Dunbar High,image/jpeg,"Photograph of Earthlean King, most likely from that year's yearbook, listing her as Miss Dunbar High., Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","King, Earthlean",,1948,,single-page; photographs,Dunbar High School; Yearbook; African American girl; African American schools,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng ,
fgcu_bhs_0066,fgcu_bhs_0066.jpg,,Mr. L.R. Wesley With Students,image/jpeg,"Photograph of Mr. Wesley at his desk with other students, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Wesley, Leroy",,,,single-page;photographs,Dunbar High School; African American teacher; African American students; Portrait photography,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image ,eng ,
fgcu_bhs_0068,fgcu_bhs_0068.jpg,,Dunbar Cheerleaders of 1965,image/jpeg,"Photograph of the Dunbar cheerleaders in 1965., Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.",,,1965,,single-page; photographs,Dunbar High School; African American schools; Cheerleading; Photographs,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0069,fgcu_bhs_0069.jpg,,Dunbar High School Progress Report,image/jpeg,"Progress report of Bertha Wilcox in the 12th grade., Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Bertha, Wilcox",,1952,,single-page; photographs,Dunbar High School; African American schools; African American girlt; Report cards,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0073,fgcu_bhs_0073.pdf,,Cleo Hallique McNeill Dunbar High School Diploma,application/pdf,"High School diploma of Cleo Hallique McNeill with list of students in the class of 1936 at Dunbar High School., Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","McNeill, Cleo Hallique",,1936-06-04,,single-page; diplomat,High school; African American women.; Graduation; Diplomas,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Text,eng,
fgcu_bhs_0082,fgcu_bhs_0082.jpg,,Dunbar High School Marching Band,image/jpeg,"Photograph of Dunbar High School's marching band., Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.",,,,,single-page; photographs,High school; African American; Marching bands; Photographs,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng ,
fgcu_bhs_0084,fgcu_bhs_0084.jpg,,Dunbar High School Football Team,image/jpeg,"Photograph of Dunbar High School's football team., Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.",,,,,single-page; photographs,African American; Photographs.; High school; Football teams; African American men,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0090,fgcu_bhs_0090.jpg,,Marion Matthews Bennett - First Valedictorian,image/jpeg,"Photograph of Marion Matthews Bennet that reads Marion Matthews (Bennett) Dunbar's first Valedictorian Class of 1929 1st Graduating Class of 1929., Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.",,,1929,,single-page; photographs,African American women; Portrait photography; Graduation; African American schools,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image ,eng,
fgcu_bhs_0125,fgcu_bhs_0125.jpg,,Dunbar Elementary Easter Parade Float,image/jpeg,"Young girls are sitting on Dunbar Elementary float in the Easter parade, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Hall, Jamie, Carter, Sandra, Baher, Mary Alice, Eady, Charmaine, Choesborough, Ablatto",,,,single-page; photographs,Parades; Adolescent girls; Portrait photography,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0126,fgcu_bhs_0126.jpg,,Dunbar Elemenetary Third Grade Exhibit at the Southwest Florida Fair,image/jpeg,"Dunbar Elementary exhibit at the Southwest Florida Fair, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Brooks, N.L.",,,,single-page; photographs,African American schools; Special events; Fairs,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
